short_description,cmdb_ci
Deutsche Bank PROCESS: RTVRMT 05-MAR-19 -MMAP01 ,AS400A
Tronweb job PRTPNCLCXT is long running.,AS400A
***Job TS02180 ended abnormally. 03/06/19 04:01:28.,AS400A
***Job TS02180 ended abnormally. 03/06/19 04:15:53.,AS400A
6401040065822 - This policy canceled_showing an amount due which is higher than it should be_No Invoice generated,TronWeb - Issue
"Payment error 8008030009007 - ""We cannot process your transaction""",AFE
Payment error 8008030009007,AFE
Tronweb Issue - Check #230008 did not print,TronWeb - Print
8001060004696     ALLEN HERSH   renewal dec nor invoice in imaging. renewed 2/21/19,TronWeb - Print
***Job GC01490 ended abnormally. 03/06/19 09:31:12.,AS400A
5201070008999 - Endrosement error - Transaction effective date cannot be prior to today's date.,AFE
Daily Tronweb Losses out of balances for February,TronWeb - Reports
6401050012407 - Application and Agency Checklist Patch,AFE
New Problem / CA / AFE / CA038901 / AFE is running slow,AFE
8001010066559 / CERVANTES - TRN-50295026:INVALID PAYMENT PLAN FOR 101 IN,TronWeb - Issue
Submit proof of insurance to the DMV for policy:6401040115843,TronWeb - Interface
0101803132342 - Validated mileage field in full quote should be calculating from the agent entered estimated field,AFE
Submit proof of insurance to the DMV for policy: 6401040112467,TronWeb - Interface
Tron Freezing,TronWeb - Issue
***Job M_GC01490 ended abnormally. 03/07/19 08:06:21.,AS400A
TW Claim 52040719000293 unable to open an OPD suffix under the Hired Auto risk,TronWeb - Claims
tron web need to CANADA zip code addded 5201070010651,TronWeb - Issue
"TW Claim 64010418008624 unable to open suffixes as claim synced to voided end 2, please patch to sync to end 1 to fix",TronWeb - Claims
Job PRTPNCLCXT had been running for almost 6 hours.  Contacted TW PS.  They asked it be ended.,AS400A
6401040075653 TW Policy had alot of Voids and prem does not look right,TronWeb - Issue
6401040078789-Unable to change pay plan to Monthly mail bill_Invalid TC error message,TronWeb - Issue
Claim #64010219000166 - trying to change insured vehicle and the system won't allow - getting Invalid message,TronWeb - Claims
Pre Renewal Pa-FL_Pre Renewal Letters for Listed but no rated drivers and Vehicle Recovery may not issuing. ,TronWeb - Print
"Insured needs proof of insurance to be sent to the DMV  	",TronWeb - Interface
Policy details not sent to DMV,TronWeb - Interface
0617800019330 - Incorrect Data being passed for Insured Name from AFE ,AFE
On AFE Tech Controls Firing in Tron web but not transferring to webMethods ,AFE
6401020041764- 2 errors- unique constraint and driver listed more than once,TronWeb - Issue
5201070015523 - System DNR,TronWeb - Issue
***Job TS02180 ended abnormally. 03/08/19 04:06:22.,AS400A
***Job TS02180 ended abnormally. 03/08/19 04:21:19.,AS400A
"TW Claim 64010219000098 is synced to voided end 14, please patch to sync to end 6 to fix.",TronWeb - Claims
"New Problem / PA AP 5.2 / DSS / PA050493 / 8006100004503 / Policy Submitted and Docs created, but nothing in DSS",Penn - Agency Port 5.2
52-BP-001101451-0 Error saving policy: TRN-20001:NON-EXISTENT CODE [PK g1002700]BATCH PROCESS FAILED,NCL Cover-All - Issue
MAPFRE VTB Provisional status - 5208050000506,NCL Cover-All - Issue
"OOBs on attached Monthly Losses Tronweb spreadsheet, Co.64, for February.",TronWeb - Reports
8001010070774  - new business document patch (Application and agency checklist),AFE
I have policy 5201070018833 where the insured has a $1M limit for their property damage coverage. ,AFE
Group LOB_6401050004043_2018 Tesla pulling Numeric Symbols,TronWeb - Issue
Tronweb keeps freezing up on her,TronWeb streamed
Co 80 check on register from Jan 11'th - not on todays register but it printed today,TronWeb - Print
The renewal never ran for policy 8006020000929 and when i try to run it i get an error message ,TronWeb - Issue
STAT - TRONWEB ISO MIC80 Auto No-fault errors,TronWeb - Reports
STAT - TRONWEB MIC80 Auto February 2019 Prem OOB,TronWeb - Reports
Renewal documents keep generating 8008030000175,NCL Cover-All - Issue
TRONWEB print job missing specified  forms,TronWeb - Print
TW tech control should not fire for excluded operator,TronWeb - Issue
Group lob_Tech Controls not working according to Guidelines_TC for unacceptable vehicle fired,TronWeb - Issue
Submit proof of insurance to the DMV for policy: 6401040070368,TronWeb - Interface
Request for new business documents patch,AFE
MA Accounts showing LOB as Expired,MCS - MAPFRE Collections System
52040719000305 - Unable to open BI suffix for 3rd party,MAC - MAPFRE Admin Center
52040718000904 - Error trying to create BI suffix in MAC,MAC - MAPFRE Admin Center
MCS (Mapfre Collection System) Success Message still displaying for Sara Landry,MCS - MAPFRE Collections System
RAP Violation Waiver Table,TronWeb - Issue
"Claim# 64010418001590 - Trying to get a check issue and keep getting a warning ""Incident Description Missing""",MAC - MAPFRE Admin Center
"Claim 80010818000747- unable to enter a payment - error ""incident description missing""",MAC - MAPFRE Admin Center
8001060000228- What is endor number 39 (Indeterminate),TronWeb - Issue
MAPFRE VTB Policy 8008030001403 AI error on renewal,NCL Cover-All - Issue
"80080319000053 - Problem with MAC platform issuing a payment   ""Mising incident description"" error when making a PMT",MAC - MAPFRE Admin Center
POI 6401040115837,TronWeb - Interface
"Claim#  52010717001624 - Trying to get a check issue and keep getting a warning ""Incident Description Missing""    ",MAC - MAPFRE Admin Center
"MAC Claim #:  80010819000268 - Unable to issue payment in MAC receiving error message that ""Incident Description Missing"".",MAC - MAPFRE Admin Center
tech control is in spanish - 8001060000228,TronWeb - Issue
PRE RENEWAL  PA/FL ,TronWeb - Issue
CANNOT ISSUE CHECKS IN MAC,MAC - MAPFRE Admin Center
Claim # : 80010119000576- I am receiving an error message when trying to issue a payment in MAC.,MAC - MAPFRE Admin Center
5201070012985 -  'trn-2001:non-existent code this policy did not pass validation.,TronWeb - Issue
BOA Reports MMAGC00425 and MMAGC01680 are incorrect,TronWeb - Reports
New Problem/FL/AFE/Agent doing endorsement to remove lienholder gets 5201070007755ORA-20001: NON-EXISTENT CODE [em_k_x2000060_a] [1],AFE
Policies are not getting cancelled on due date,TronWeb - Treasury
Submit proof of insurance to the DMV for policy: 6401040112499 ,TronWeb - Interface
RE: Open Incidents including SLA - May Contain PII Combination Data,ServiceNow
8006010024704 Policy # Cov A >1 million Pre-renewal Tech Control is missing.,TronWeb - Issue
8001080007598 Premium Increase,TronWeb - Issue
"change of date of loss on the claim, patch it, with new dol 6/29/18 80080319000013 endorsement 12",TronWeb - Claims
License suspension have FL NB quote 0107522739451 which is pulling 2 license suspensions,AFE
NCL ISO Stat Reporting - BOP - TW8128 - Liquor Liability Coverage (ISO Coverage Code 43) with ISO Edit S151 (Exposure),NCL Cover-All - Issue
 6401040092501-EFT drafted while in pending cancellation,TronWeb - Treasury
ALIR details were not DMV,TronWeb - Interface
NCL ISO Stat Reporting - BOP - TW8612 - Data Compromise Coverage (ISO Coverage Code 81),NCL Cover-All - Issue
CA DOI Complaint #RUS-8189775 - Policy #6401040109730 - Response Due Date: 3/21/19,TronWeb - Issue
6401040053456 - Page display error when trying to open the policy,MAC - MAPFRE Admin Center
"TronWeb - After I look at 5-6 agents, it freezes and I have to close and restart and that takes forever. The issue started yesterday",TronWeb - Performance
RE: new incident RE: RAPA production clean-up - return interest posting ,TronWeb - Reports
Open a batch of brand new checks -some flip flopped - 7 checks to reprinted,TronWeb - Print
"New Problem / PA / PA AP / PA016433 / Endorsement that should increase premium, does not increase premium",TronWeb - Issue
This policy was set up for DNR and system did not cancel_showed up on the renewal error report. 8006010005496,TronWeb - Issue
"8001010007542 / CA010757 / Agent is getting error ""Visit Transportation Network question on veh page"" on the coverages page",AFE
MTD PAID Amounts and MTD Incurred Amounts do not match on MMACO00894 (Daily Corp Loss Report) and the MMACO0892 Finacial Loss Summary Report for month end 2-28-,TronWeb - Reports
STAT - TRONWEB ISO INTERFACE OPTIONS,TronWeb - Interface
MAC -  missing policy bhpcdt,MAC - MAPFRE Admin Center
Clarification Needed regarding Peace of Mind/Accident Forgiveness,TronWeb - Print
NOTICE OF SUSPENSION,TronWeb - Interface
unable to open collision coverage 80010619000224,TronWeb - Claims
Please void 8001010070840,TronWeb - Issue
1562 A Renewal Update Transaction is pending for this policy,TronWeb - Issue
"Claim 52040818000060"" - getting ""TRN-20325: reserve allocation concepts . for third party do not"" on expense payment",MAC - MAPFRE Admin Center
TW MAC Claim 64010418008624 returning MAC error 'Problem trying to display' page at RCU suffix 4,MAC - MAPFRE Admin Center
NEW PROBLEM/090408/8006040003899/AZ/AFE/AGENT IS TRYING TO PROCESS ENDORSEMENT TO REMOVE DOG FROM POLICY. IS GETTING ERROR ORA-20001: K_VAL_VARVDAT_GEN_RISK.P_P,AFE
POI 6401040095961,TronWeb - Interface
RE CXL/REFUND ERROR_8006010022826,TronWeb - Issue
Please review rating for 8001010061975_Band Factor 2018-2019 term ,TronWeb - Issue
possible print issue with UW 30 day cancels 8001010058418,TronWeb - Print
new problem/afe/ca/304/0101803226737/error coming up about error in returning factor,AFE
Submit proof of insurance to the DMV for policy:,TronWeb - Interface
***Job GC01120 ended abnormally. 03/15/19 06:17:13.,AS400A
MAPFRE VTB 8008030006128  Invoices not generating and not printing. ,NCL Cover-All - Issue
6401040109927 STUCK IN PENDING CANCEL,TronWeb - Issue
8004010002407  - Policy wont open and is giving an error message,MAC - MAPFRE Admin Center
8004010002407 - Agent unable to pull up billing on large commercial policy - site times out ,Enterprise Acord Web Services
Tronweb Renewal Policy missing Cover Page,TronWeb - Print
Symbol Discrepancies - Tronweb ,TronWeb - Issue
Submit proof of insurance to the DMV for policy:8001060010124,TronWeb - Interface
***Job MICINSURE ended abnormally. 03/17/19 00:50:02.,AS400A
***Job MICINSURE ended abnormally. 03/17/19 23:33:24.,AS400A
***Job W_TS00010 ended abnormally. 03/18/19 03:03:40.,AS400A
***Job W_TS00010 ended abnormally. 03/18/19 03:27:47.,AS400A
***Job CNMAFTP ended abnormally. 03/18/19 08:00:40.,AS400A
***Job CRTIVANS64 ended abnormally. 03/18/19 08:06:37.,AS400A
***Job CRTIVANS64 ended abnormally. 03/18/19 10:12:49.,AS400A
***Job IVANSHOME ended abnormally. 03/18/19 11:27:05.,AS400A
6401040109763_Prem Decr when updating Lienholder,TronWeb - Issue
Fw: Ticket request - 8006020000887,TronWeb - Issue
5201070018750 FRANCISCO BARBOZA GRASA_Driver Assignment AFE,AFE
policy reform UM on an unrel endorsement,TronWeb - Issue
MAPFRE Daily CEA - 6-8-2018,TronWeb - Interface
***Job CRTIVANS64 ended abnormally. 03/18/19 12:59:56.,AS400A
8006020000887 - Tech Control Fired on unrelated change,AFE
"daily reporting Use wants to be added to the """"IT - TronWeb - Production Support"" (ittwproductionsupport@mapfreusa.com) mail group. "" to receive automatereports",ServiceNow
8001080002670_violations from Ears not showing same in TW,TronWeb - Issue
ERROR WHEN ATTEMPTING TO ADD A SUFFIX IN CLAIM 80010619000229,TronWeb - Claims
"64010519000259_Unable to Reject TC in order to VOID PAYMENTfor $14,086.41",TronWeb - Claims
***Job CRTIVANS64 ended abnormally. 03/18/19 17:33:04.,AS400A
8006040001323_Protection Class not showing as expected,TronWeb - Interface
Print Issue- On Renewals Drivers ID not matching up in the vehicle and driver sections,TronWeb - Print
Deutsche Bank PROCESS:Deutsche Bank file has some Invalid/Duplicate Payments 18-MAR-19,AS400A
***Job MICINSURE ended abnormally. 03/18/19 23:32:38.,AS400A
***Job GC00400 ended abnormally. 03/19/19 05:11:08.,AS400A
***Job GC00400 ended abnormally. 03/19/19 05:35:19.,AS400A
8006170000696_Failed to Renew,TronWeb - Issue
8006010031688 unable to change address on CLI 12279924_Non Existent Code: policy did not pass validation,TronWeb - Issue
***Job MICINSURE ended abnormally. 03/19/19 23:33:44.,AS400A
***Job GC00400 ended abnormally. 03/20/19 05:52:36.,AS400A
***Job GC00400 ended abnormally. 03/20/19 06:28:05.,AS400A
STAT - TRONWEB ISO 2/2019 Paid loss missing DW line in flat file,TronWeb - Reports
80010819000343 - Unable to set up a suffix,MAC - MAPFRE Admin Center
New Problem/MA/MapfreConnect/Pending Cancellation inquiry is showing a policy that has been reinstated,AFE
New Problem / CA / AFE / CA010594 / 6401030040794 / The Dec page showing is for the prior period,AFE
New Problem / PA / PA AP / 8001080009639 / Dec page is not current,TronWeb - Print
8001080006459 - Unable to issue renewal due to GVW field,TronWeb - Issue
TW ECC Viewer - Wrong MMAGC00682 in 3/1/2019. Showing data from MMAGC00683,TronWeb - Reports
Tronweb Renewal Error Code: Existing Damage,TronWeb - Issue
8.00106E+12,AFE
new problem/afe/ca/1207/0601803811319/Extraxt Data button not appearing on quote,AFE
Double coverage value is displayed in the renewal dec -8006010023796,TronWeb - Print
"6401040099842 - Clicking payment confirmation, does not pull up a confirmation record",AFE
***Job GC00400 ended abnormally. 03/21/19 05:13:00.,AS400A
***Job CO00894 ended abnormally. 03/21/19 07:36:41.,AS400A
***Job CO00894 ended abnormally. 03/21/19 07:55:28.,AS400A
"5201070019330 - Could you please add a zip code to the drop down list for a Montreal, QC address",TronWeb - Issue
5201070019332 - please review and advise if there is a patch that can be done to apply the loyal customer discount,TronWeb - Issue
***Job CO00894 ended abnormally. 03/21/19 10:13:44.,AS400A
***Job CO00894 ended abnormally. 03/21/19 10:47:19.,AS400A
8001080009667 CANNOT UPDATE HOME POLICY NUMBER FOR MPD - ERROR POLICY DOES NOT BELONG TO INSURED,TronWeb - Issue
"Policy No. 6401040054267, Claim No. 64010418008621 - Please provide me with a copy of the cancellation notice that was sent",TronWeb - Print
***Job CO00894 ended abnormally. 03/21/19 11:41:51.,AS400A
Please run the new business document patch (Application and agency checklist) for the following: 6401050012435,AFE
Claim 64010418008498   Policy 6401040052844,MAC - MAPFRE Admin Center
"New Problem / FL / AFE / 0107522752291 / AFE is not allowing a non-licensed spouse, even though U/W states is acceptable.",AFE
MCS - Unchecked boxes when bulk assigning policies,MCS - MAPFRE Collections System
***Job GC01022 ended abnormally. 03/21/19 15:09:56.,AS400A
new problem/afe/az/90524/0106800984228/insurance score info is missing in nb quick quote,AFE
[Empty] was 6401050011799 / HIGA - GOOD STUDENT ELIGIBILITY ERROR,TronWeb - Issue
***Job GC00400 ended abnormally. 03/22/19 07:47:22.,AS400A
Request to Turn Off TW Claim Acknowledgement Letters to Attorneys in California,TronWeb - Print
***Job CO00894 ended abnormally. 03/22/19 09:41:19.,AS400A
New Problem/Download/FL/Commercial/Direct Bill Statement/ MIC of FL Statement not downloading Total Commission Amount,TronWeb - Interface
policy#5208050000511 the invoice has words printed on top of the numbers for balance due ,TronWeb - Print
Fw: 6401040085999  /  COLINDRESMARROQUIN       DMV-POI,TronWeb - Interface
6401040100400- Receiving error when trying to update address,TronWeb - Issue
0106800965910 - Rap Level changing during quote process,AFE
Policy 8001010042480 - make a payment screen froze ,MAC - MAPFRE Admin Center
0617800019460 - No webmethod item was created for this prebind tech control,AFE
8004010004633 - froze on payment screen,MAC - MAPFRE Admin Center
MAPFRE NCL Policy 8008030002374 AI error on cancel,NCL Cover-All - Issue
8001010067122 voided renw_remove 2 vehicles prior to renw_recd the follwoing error:TRN:50295026:INVALID PAYMENT PLAN FOR 101 IN,TronWeb - Issue
Submit proof of insurance to the DMV for policy:,TronWeb - Interface
Submit SR22 to the DMV for Driver,TronWeb - Interface
Docusign Reform Failure (em_k_val_esign_process.p_drv_exp_valid),TronWeb - Issue
Comp Rater and AFE premiums not matching-Quote 0104642189356,AFE
Job IVANSHOME in the Group P_INTMISC terminated,AS400A
Unable to open suffix on 80080119000008 No files defined to open,MAC - MAPFRE Admin Center
POI - 6401040112487,TronWeb - Interface
Old Renewals keep printing/recycling ,NCL Cover-All - Issue
5201070014993_Reissued Renw_Prem increasing,TronWeb - Issue
Car Fax Results - Mileage Return Distribution is off...,AFE
Submit proof of insurance to the DMV for policy:8001010069641,TronWeb - Interface
6401040107901_The client Id is listed as a QUO instead of CLI,TronWeb - Issue
***Job VALCSHR80 ended abnormally. 03/25/19 22:00:06.,AS400A
***Job GC00400 ended abnormally. 03/26/19 05:35:51.,AS400A
***Job GC00400 ended abnormally. 03/26/19 05:51:52.,AS400A
Claim 52010719000379- unable to process payments,TronWeb - Claims
6401040093613-- system will not allow me to apply mature driver discount,TronWeb - Issue
New Problem/ AFE/ FL/ FL01881/ 5201070013879/ Agent is unable to move past the driver page,AFE
6401040100400 - TronWeb does not allow me to change the mailing address,TronWeb - Issue
new problem/afe/FL/0107522741513/afe issues effecting agents outside of fire wall like new quote and manage quote,AFE
6401040001785 Advanced Collections amounts,TronWeb - Treasury
8001060008957 - Premium adding on $0 endorsement (adding 847.00 exactly),TronWeb - Issue
Submit proof of insurance to the DMV for policy: 6401040098999,TronWeb - Interface
***Job FTPISAFDLY ended abnormally. 03/27/19 03:03:45.,AS400A
Proof of Insurance Help - Brett Kohl - 6401030040152,TronWeb - Interface
***Job GC00400 ended abnormally. 03/27/19 06:32:25.,AS400A
***Job GC00400 ended abnormally. 03/27/19 06:48:07.,AS400A
New Problem/CA/AFE/ca022342/0105640245477/Error in Bind,AFE
***Job GC00400 ended abnormally. 03/28/19 05:41:19.,AS400A
***Job GC00400 ended abnormally. 03/28/19 06:00:44.,AS400A
IT Ticket 5201070019371,TronWeb - Issue
"the zip code 30339 for Atlanta, GA For Lienholder is not in Tron Web",TronWeb - Issue
POI REQ,TronWeb - Interface
CA Protection filings issue (PR 2019-T021)_processing non-prem endor but getting a prem change-TW P#6 (Clean up in Progr),TronWeb - Issue
8008030011701 - Payment error,NCL Cover-All - Issue
TW - CA MIC Auto = Multi Policy Discount should not have Dropped at Renewal,TronWeb - Issue
"New Problem / Internal Agent / AFE / 8006010026984 / Agent selects the start date, for an endt, and it errors out.",AFE
***Job GC00400 ended abnormally. 03/29/19 07:34:57.,AS400A
HFRICCH showing two times in the drop down to assign work,MCS - MAPFRE Collections System
"Mapfre cancellation_8006100001585 ""nonexistent code""",TronWeb - Issue
8001010063137 - Agent referred endorsement and now you cannot get to the coverage page with endorsement summary.,AFE
Ticket request 6401050004836,TronWeb - Issue
TW claim 80010619000145 synced to a future endorsement 5 in error. Please sync to endorsement 4 to fix,TronWeb - Claims
5201070018821 A youthful driver added on endor and Pol Reformed as such for no Doc_ But UM Cov forms attached to Dec,TronWeb - Print
"New Problem / CA/ AFE / 6401050007741 / Endt does not show in policy inquiry, and confirmation is the incorrect endt",AFE
Trying to process a manual renewal and getting an error that primary drivers not balanced- when they are.,TronWeb - Issue
AZ Driver Eligibility Tech Controls - AFE NB Rejection,AFE
***Job MMAEM02221 ended abnormally. 03/31/19 07:45:06.,AS400A
***Job MMAEM02021 ended abnormally. 03/31/19 07:46:55.,AS400A
***Job MMAEM02211 ended abnormally. 03/31/19 07:45:06.,AS400A
***Job GC01120 ended abnormally. 04/01/19 06:17:35.,AS400A
***Job M_GC01470 ended abnormally. 04/01/19 06:39:00.,AS400A
***Job M_TS00952 ended abnormally. 04/01/19 07:03:10.,AS400A
STAT - ISO TRONWEB JOB RUN BY IT,TronWeb - Reports
MIC TW Sweep Payment Posted 3 times 03/29/19,Enterprise Acord Web Services
8008030014961  policy appears on reinstatement report MMAGC00830 - payment received 3/31/19 - Policy cancelled RONA,TronWeb - Reports
"6401040113878   insured wanted us to review why the draft for 03/15/19 didn't pull, when they had funds in their bank account",TronWeb - Treasury
8006010024501 - Pre renewal audit did not fire for losses over 25K. This policy had a loss over 90K.,TronWeb - Issue
 8008030000616 - Pending Cancellation inquiry is showing a policy that has been reinstated,AFE
New Problem/AFE/AZ/Auto/8001060010919/Policy Bound on back end in TW - Need NB Docs and all of DSS Documents Created,AFE
"8004010004881 -please assign to NCL Team   Error adding coverage Error Message: For input string: """"",NCL Cover-All - Issue
"IN MCS ( MAPFRE Collections System)- An open diary that was completed, erased some of the diary content",MCS - MAPFRE Collections System
8001060005918 Same Tech control assigned to three reps,TronWeb - Interface
8.00601E+12,TronWeb - Issue
new problem/ca/afe/90141/0604800507248/multi policy discount field not accepting a valid quote number,AFE
"8001060003498 , 8001060006892",TronWeb - Print
TW commission statements MMAGC00680 are not available,TronWeb - Reports
***Job M_GC00884 ended abnormally. 04/02/19 07:55:38.,AS400A
***Job M_CO00892 ended abnormally. 04/02/19 08:26:22.,AS400A
MCS Profile of accounts 15 new mass and 15 new Tronweb for USER HFRICCH > user has 2 profiles and neither of these show the new accounts,MCS - MAPFRE Collections System
Deductible Credit_insd has deductible credit greater than the actual deductible amount.,TronWeb - Issue
"8006100004076 fink - The policy is in provisional status however, there is not a tech control in tron to release the policy",TronWeb - Issue
Verfication of Insurance   POI,TronWeb - Interface
6401030040152 research the display issue in Policy Inquiry Screen,AFE
new problem/afe/FL/70823/0107522769769/AJAX error occurring in new business quote,AFE
MMAGC01960 for  3/29 is missing from ECMViewer,AS400A
Request for new business documents patch -    Policy #: 6401050012461,AFE
Submit proof of insurance to the DMV for policy: 6401040115842  ,TronWeb - Interface
***Job GC00400 ended abnormally. 04/03/19 06:53:20.,AS400A
***Job GC00400 ended abnormally. 04/03/19 07:20:56.,AS400A
"80080319000080- Trying to close a suffix_get message ""At Least one Cause Must be Selected""",TronWeb - Claims
8008030000988  WE SHOW UP   renewal dec has issued over 17 times.,NCL Cover-All - Issue
MTH  Tronweb Losses Out of Balances for March   Spreadsheet attached,TronWeb - Reports
5204070000177 - revision mismatch ,NCL Cover-All - Issue
not able to open report MMAGC00680 in ECM viewer,TronWeb - Reports
Company 0352 Florida - paid loss report discrepancy between SAP General ledger interface report MMAGC01160 and corporate loss report MMAGCO00892,TronWeb - Reports
"MCS ( MAPFRE Collections System)- when assigning work, only on the very last page of the queue, once you assign the full page of accounts they do not clear",MCS - MAPFRE Collections System
"New business umbrella policy, 5206160000895, was issued internally. Please generate the necessary NB forms",AFE
TronWEb - InfoSecurity has verified her access but still unable to quote the MIC line of business,AFE
8001060010529 _processed a backdated change and had to void the renewal,TronWeb - Issue
Submit proof of insurance to the DMV for policy: 8001010030065,TronWeb - Interface
Renewals decs for 3 california policies,TronWeb - Print
Tronweb Daily Losses Out of Balances for March,TronWeb - Reports
New Problem/AFE/AZ/Personal Auto/8001060010312/Endorsing a change in Vehicle Changes Liability Limits during endorsement,AFE
POI 6401040117141,TronWeb - Interface
Please Rush** : 5201070015416 MILLER Adding Auto Club Disc for 2018 - only give $3 prem credit,TronWeb - Issue
6401040114203 - ADDING LIEN HOLDER TO VEH ,TronWeb - Issue
Submit SR22 to the DMV for Driver 6401040062354,TronWeb - Interface
There is a reporting discrepancy between Company 0464 (Commerce West Insurance) SAP general ledger interface posted foECM Viewer report MMACO00892 does not tie ,TronWeb - Reports
Billing and Renewal Docs missing from ECM,TronWeb - Print
"MCS - Enhancement - To increase the character limit in the ""Diary Comments"" section from 350 to 1,000""",MCS - MAPFRE Collections System
New Problem/5201070010475/FL/MAPFRE Connect/Agent endorsing policy to replace 2010 Honda with 2014 Honda system generates premium of $900.84 processing premium ,AFE
8006100001039 - LISA SHANNON Observ TC is appearing on a Mortgagee Change—the dec did not print that this change was done.,TronWeb - Issue
"TW California OOS Endorsement Error_Attempted to make an ADI change, system would not allow OOS processing. 8006010013565",TronWeb - Issue
"6401020020315  Agent stated insured never received renewal paper work, though it shows on MAC as sent 4th report of incident ",TronWeb - Print
Error Message,TronWeb - Issue
5201070002002 There is a $39 discrepancy between the agent's quote and our endorsement.,TronWeb - Issue
MAPFRE NCL Policy 8009030000252 AI error on endorsement,NCL Cover-All - Issue
"New Problem / Hogge Insurance, 6401020017033 / CA / AFE / Agent is unable to get past the driver screen",AFE
Validated Mileage - Policy not updating vehicle listed as New Purchase ,TronWeb - Issue
***Job GC00400 ended abnormally. 04/05/19 08:00:19.,AS400A
Missing TW Company 80 Statements MMAGC00680,TronWeb - Reports
STAT - TRONWEB MIC80 3/2019 PD LOSS OOB,TronWeb - Reports
"Please see checklist, system is asking for validation on alarm system but credit was given.",AFE
Mapfre - 8004010004957 - policy is active in coverall but cancelled in tronweb.  policy should be active in tronweb,NCL Cover-All - Issue
MAPFRE Automated Non-Pay Pending Cancellation Email to Agents,TronWeb - Issue
5201070015864 / endorsed the policy with no change and the policy wanted to increase for 932.00 ,TronWeb - Issue
Please create entity code for new Bank for TW,TronWeb - Treasury
Fw: POI REQUEST RE 6401040077687,TronWeb - Interface
8008030001620  - the system is issuing a renewal dec everyday,NCL Cover-All - Issue
MAPFRE - TronWeb Monthly Commissions for March 2019 OOB.,TronWeb - Reports
Missing Town,TronWeb - Issue
ECMviewer Report MMACG01490 - Receivable balances over 90 days is not available  for 3/31/2019,TronWeb - Reports
Estimated Mileage Increase by 1000 when over default - Missing Questionnaire ,TronWeb - Print
Submit proof of insurance to the DMV for policy:8004010003999,TronWeb - Interface
6493 and 6504 Unacceptable Risk – Ineligible due to age of roof Fires 400+ times should go to UW,TronWeb - Issue
***Job FTPEFTSW80 ended abnormally. 04/07/19 02:49:21.,AS400A
***Job FTPEFTSW80 ended abnormally. 04/07/19 02:58:12.,AS400A
***Job FTPEFTSW80 ended abnormally. 04/07/19 03:06:22.,AS400A
***Job FTPEFTSW64 ended abnormally. 04/07/19 03:28:26.,AS400A
***Job FTPEFTSW52 ended abnormally. 04/07/19 03:30:47.,AS400A
***Job FTPEFTD64 ended abnormally. 04/07/19 03:45:56.,AS400A
***Job FTPEFTD64 ended abnormally. 04/07/19 04:20:04.,AS400A
***Job FTPEFTSW80 ended abnormally. 04/07/19 04:45:01.,AS400A
***Job FTPEFTSW52 ended abnormally. 04/07/19 04:48:30.,AS400A
***Job FTPEFTSW64 ended abnormally. 04/07/19 04:48:08.,AS400A
***Job W_TS00010 ended abnormally. 04/08/19 03:30:49.,AS400A
***Job W_TS00010 ended abnormally. 04/08/19 03:52:22.,AS400A
NCL Production Support - ISO Stat Reporting - 03-19 TW CA General Liability OS Loss OOB - Urgent,NCL Cover-All - Issue
STAT - TRONWEB ISO CWIC64 OS LOSS BLANK LIAB 3-2019,TronWeb - Reports
STAT - TRONWEB ISO PD LOSS OOB 3-2019,TronWeb - Reports
"Hi Gaye/ Linda,  Development is the script to pull out this data is 95% complete and team is in the final stage of completing the testing in lower region. We wi",TronWeb - Interface
POI 80010100626662 SANDAGTORJ,TronWeb - Interface
FM SCORE UPDATES ARE REVERTING BACK TO OLD SCORES/DATES/REFERENCE NUMBERS AT RENEWAL - FLORIDA AUTO POLICIES,TronWeb - Issue
STAT - TRONWEB MIC80 DW Missing data in PD Loss flat file 3-2019,TronWeb - Reports
STAT - TRONWEB MIC80 PLSP OS loss 3-2019 missing DW line,TronWeb - Reports
"new problem/Brockman Insurance Group, 52010700192979/FL/afe/non-existent code error during endorsement",AFE
POI  POL#  8001010070234   ,TronWeb - Interface
Submit proof of insurance to the DMV for policy:policy# 8001010067430,TronWeb - Interface
0104642684646 6401040112242_tech control 1601 not considering status as of the new effective date,TronWeb - Issue
TW - MPD Dropped from HO Renewal for Unknown Reason - Policy 8006010030237,TronWeb - Issue
AFE is running really slow and giving them the error from INC1623522 - Affecting 5 agents,AFE
***Job REINSTF52 ended abnormally. 04/09/19 00:53:56.,AS400A
Tronweb group P_CANCEL52 had 5 jobs that ran twice.,AS400A
OOBs on attached Tronweb Daily Premium spreadsheet for March 2019.,TronWeb - Reports
MMACO00894 for  4/2/19   and  4/7/19  are not in ECMViewer,TronWeb - Reports
Unique Constraint Error trying to update umbrella through renewal update,TronWeb - Issue
New Problem/PA/Agency 3079/Claims download/download showing wrong Not At Fault status instead of At Fault,TronWeb - Claims
5201070019381 - Issues with the Docusign ,AFE
Treasury report for 4/9 contains a Loss Register report,TronWeb - Reports
Trying to do an endorsement on policy #5201070007478 - the zip code is not populating. Should be 33139,TronWeb - Issue
"POL# 6401040117831---ADDING LP, GIVING CREDIT",TronWeb - Issue
"OOBs on attached Tronweb Monthly Losses spreadsheet for March 2019, companies 52, 64 & 80.",TronWeb - Reports
We have a new business EFT account that was entered as new business and should not have passed to vendor,AFE
6401040099943 / Alejandro Elizarraras----TRYING TO CHANGE LP ON VEH#5,TronWeb - Issue
