short_description,cmdb_ci
***Job REINSTF80 ended abnormally. 10/16/18 03:18:47.,AS400A
***Job GC01710 ended abnormally. 01/29/15 01:11:40.,AS400A
,TronWeb - Interface
***Job GC01980 ended abnormally. 07/18/18 05:03:49.,AS400A
Endors_changing stated amount to > 500k  _policy is retained -1 tech control,TronWeb - Issue
6401020003567  Please pull receipt 153303 from the EFT mailbox.,TronWeb - Issue
"New Problem - AFE - CA010109 - 0607801721807 - Agent put through yesterday with sweep, after payment agent hit submit an",AFE
52010715000382 - 2 ISO HAS NOT BEEN COMPLETED,TronWeb - Interface
Tronweb locks up trying to do suffix modification,TronWeb - Claims
8001010012814 Please generate declarations pages and invoices for this policy (entered 10/24),TronWeb - Print
Submit proof of insurance to the DMV for policy:6401050002939,TronWeb - Interface
Homeowners premium leakage - Relativity factor -,TronWeb - Renewals
6401030002657  - Unique Constraint Error ,TronWeb - Endorsements
New Issue/CA/Mapfre Connect/Endorsement error - 8001060000187ORA-20000: [EA_K_TECH_CTRL_106_MMA.P_FINISH_BUTTON] ORA-065,AFE
POI request - The insured has received notice of suspension can we please send proof of insurance to the DMV for the insured.,TronWeb - Interface
" 64010418008423 - stuck in ""DRAFT"" ",MAC - MAPFRE Admin Center
TronWeb - there is a system issue reg thp218198 -,TronWeb - Claims
I am not able to log into Tronweb.,TronWeb - Issue
Fw: INC1348308 - PA / AFE New Business / Agent Quoting Personal Auto NB & Receives a zip code error,AFE
6401040029506 Sent POI for correct VIN,TronWeb - Interface
8001010044891 update garaging address and received this,TronWeb - Issue
New problem - FL - AFE - Agent getting an error message,AFE
6.40104E+12,TronWeb - Interface
MAPFRE - TronWeb Monthly Commissions for November 2016 OOB.,TronWeb - Reports
Submit proof of insurance to the DMV for policy: 6401020002872  ,TronWeb - Interface
DEC Pages not producing for FL personal auto GEAR,TronWeb - Print
8001060000935  - renewal declarations page is not showing any violations/accidents ,TronWeb - Print
New Occurence / CA / AFE / 6401040066680 / Pol issued,AFE
CURRENT CARRIER - AUTOMATED REJECT REPORT FOR BATCH NO - 132331182,TronWeb - Interface
***Job GC00770 ended abnormally. 12/04/16 21:45:50.,AS400A
New Problem-CA-AFE-Docusign-6401040045664-Requesting,AFE
***Job GC01040 ended abnormally. 10/23/16 08:28:15.,AS400A
8006030000008 Policy in Provisional Status - Needs to,TronWeb - Endorsements
TRONWEB REPORTS FROM 4/11/14 DON'T BALANCE,TronWeb - Reports
Endorsement/Calculates and gets 5201070004059ORA-20003: MANDATORY FIELD MCA_SEXO [em_k_x2000060_a] [,AFE
Submit proof of insurance to the DMV for policy: 6401040009495,TronWeb - Interface
***Job M_GC01470 ended abnormally. 10/01/17 04:00:04.,AS400A
Submit proof of insurance to the DMV for policy: 6401030027224,TronWeb - Interface
"search for ""May"" did not yield any results that matched the address I had (17 Harmony Dr, Oroville CA), it yielded 40 re",MAC - MAPFRE Admin Center
 please create a new IR for the below description under TronWeb Reports,TronWeb - Reports
***Job CLMECVAL52 ended abnormally. 07/14/17 21:00:50.,AS400A
Trying to issue a ded reimbursement and it doesnt recognize there is a suffix open - 8001010018916,TronWeb - Claims
Tronweb Transmission Control E-mails for 1/13/16,TronWeb - Reports
TronWeb - error 55,TronWeb - Performance
GC01960 - Job ended abnormally on 3/8/18 @ 15:43:22,AS400A
/ AFE Endorsement / ERROR - ORA-20000: [EM_P_TECH_CTRL_LEVEL_8] ORA-00001: unique constraint (TRON2000.PK_A2000060) viol,TronWeb - Issue
"8/1/13 MIC Tronweb (REMIT, $605 & Pol#8006010002133)",TronWeb - Treasury
problem recieving paymengt to purchase nb pol,AFE
Needs to change where her checks are printing. Currently printing in AZ need them to print in MA,TronWeb - Print
Submit proof of insurance to the DMV for policy: 6401050003698,TronWeb - Interface
MAC system has been very slow,MAC - MAPFRE Admin Center
8006020000131 & 800602000121 DP-3 Applications Showing,AFE
Unable to quote an umbrella policy - its taking 15,AFE
8001010009215 - Errors found in production during processing an AFE Endorsement (Billing & Print Issues),AFE
Weekly renewal error reporting 3/7/16 - Policy,TronWeb - Issue
***Job GC01120 ended abnormally. 01/31/18 06:17:03.,AS400A
MAC Adjust Attorney selecting the first attorney in the,MAC - MAPFRE Admin Center
52010716000796 - Unauthorized access - mary brimberry- 2 tech controls are showing locked when she shouldnt have access. ,TronWeb - Claims
tronweb error- credot for changing mortgagee on policy,TronWeb - Endorsements
"Incidents returned from EARS not applying to Gear Renewals (AZ, PA, FL)",TronWeb - Renewals
Tronweb - Transmission Control E-mails contain no data,TronWeb - Treasury
OFAC TC is missing and needs to be released. - patch,TronWeb - Claims
6401040064737 / DIANA SFERRAZZO,TronWeb - Interface
gent trying to access claim information and receives the following message: There was a problem trying to display this p,AFE
***Job GC01120 ended abnormally. 12/01/17 06:47:54.,AS400A
"We are not able login to Database since 05:40 pm IST - error message as ""ORA – 12518 see attached",TronWeb
Slow moving tronweb,TronWeb - Performance
error message -Invalid Passive Restraint Option -Passive Restraint Discount,AFE
Tronweb job PRTADECS64 production support called said to end the job *immed and rerun the job with reactivity.,AS400A
Report MMATS00022 – Not available for 2/13/14 ,TronWeb - Reports
New Problem/ CA/ AFE/ Page display error comes up when starting an endt,AFE
6401030001282 - Submit POI to DMV,TronWeb - Interface
Create patch on VIN# less than 10 characters to properly update DMV for policy:   6401030023144,TronWeb - Interface
Slow in AFE.,AFE
*AFE / Endorsement / Login# B497BFIE / Policy#,AFE
Delays or slowness in MAC,MAC - MAPFRE Admin Center
***Job GC00400 ended abnormally. 01/27/16 08:27:58.,AS400A
GC01120 TW job failed,AS400A
0601801696666 - Bound a quote before it was reviewed -,AFE
SR-22 for Pol# 6401040020369,TronWeb - Interface
8001010008413 invalid payment plan error unable to process endr,TronWeb - Issue
8001010027584 - INCORRECT NAME ON UNDERWRITING LETTER,TronWeb - Print
Need to turn off the generating and mailing of the CA,TronWeb - Print
Submit SR22 to the DMV for Driver: Jeffrey Linde,TronWeb - Interface
***Job GC01960 ended abnormally. 12/28/17 07:34:14.,AS400A
new problem/afe/CA008560/6401050005291/named insured changed from Garth to Annette,AFE
***Job GC01120 ended abnormally. 12/30/15 03:06:20.,AS400A
*AFE & Printables / Adjusting Months with Current Carrier & Prior BI Limit will not transfer to driving history,AFE
License is spelled incorrectly on AFE error message and Driver Status/License Status is not working per requirements.,AFE
PA 805 CA forms are not getting attached as part of Renewal Declaration packet  after 05/29/2018,TronWeb - Print
No Credit/Debit card nor eCheck payments made thru VRU or B2C site since FL was converted to TW,TronWeb - Financial
***Job EM00070 ended abnormally. 09/27/16 02:16:37.,AS400A
MAPFRE - POLICY # 5204070001372 Error saving policy: TRN-20000:20000 VARIABLE DATA HAS NOT BEEN TRANSLATED IN JAVA [ RISK 0 - Mcs90Mcs90bRequired],NCL Cover-All - Issue
***Job GC01670 ended abnormally. 09/21/17 02:15:57.,AS400A
MIC policy 8006010006931 multi policy discount not rated upon renewal ,TronWeb - Renewals
AUTOMATED REJECT REPORT FOR BATCH NO - 161041240 - May Contain PII Combination Data,LexisNexis
6401040009085 - Driver Listed More Than Once Error,TronWeb - Issue
***Job GC01120 ended abnormally. 09/04/16 03:38:29.,AS400A
***Job FTPCHKPAID ended abnormally. 11/20/18 10:06:25.,AS400A
Cannot make payments in TW or MAC. TW takes me to msn instead of bank site,TronWeb - Issue
"CA / AFE Endorsement / Agent gets ""There was a problem",AFE
"Policy# 8001010035744 - veh added on 3/14, updated draft schedule never sent, please issue schedule",TronWeb - Financial
***Job PSNGRCP80 ended abnormally. 03/28/18 22:02:42.,AS400A
"8001060003632  the payment reminder letter is not correct.  This letter gives the insured the 8 day grace from 11/30, wh",TronWeb - Treasury
Submit proof of insurance to the DMV for policy:  6401030015858,TronWeb - Interface
6401040051317 - tech control error; unable to delete vehicle and change driver to occassional,TronWeb - Endorsements
TronWeb System keeps freezing.,TronWeb
CURRENT CARRIER TRONWEB DAILY LOSSES OUT OF BALANCE 2/9/15 & 2/10/15,TronWeb - Reports
Only showing One Vehicle and should show 2 on Policy# 8001010021541,TronWeb - Issue
MAPFRE NCL Policy#8008030000149 CoverAll cancelled for RONA 8/28/17 - TW still active,NCL Cover-All - Issue
***Job FTPEFTD52 ended abnormally. 08/27/17 22:31:41.,AS400A
Deutsche Bank Payments not posted - 07/23,AS400A
CLUE mapping- TW 0108800499714,AFE
TronWeb - 8001010002000 - Pull Notice,TronWeb
8001080004698 - Changing a loss payee on file and the,TronWeb - Issue
NEW TRONWEB-PRODUCTION- OFAC IS DOWN ,TronWeb
Deutsche Bank Payments not posted for company 80 due to duplicate/invalid payments.,AS400A
Claims are not being sent to ISO. It appears nothing,TronWeb - Interface
"New Issue- CA- MAPFREConnect- Agent is attempting to Run Agency Sweep Report, clicks Printable Format and gets Error",AFE
Submit SR22 to the DMV for Driver   POLICT# 6401020027673,TronWeb - Interface
8006010012178- Renewal Declaration pages have not been generated. ,TronWeb - Print
MAPFRE NCL Policy 8008030003548 Error saving policy: OOS Error. Check A2000520 table.BATCH PROCESS FAILED,NCL Cover-All - Issue
Weekly Renewal Error Reporting 05/23/2016,TronWeb - Issue
Tronweb ISO Reporting Issue... Arizona Personal Auto ISO Edit Error,TronWeb - Reports
TW_Carfax_ Prot_Switching Program_Ren & Endor Dec displays Wrong Expiring Type and New/Rnew Type Annual Mileage values ,AFE
CURRENT CARRIER - AUTOMATED REJECT REPORT FOR BATCH NO - 130601162,TronWeb - Issue
***Job GC01120 ended abnormally. 06/01/15 01:46:01.,AS400A
MAPFRE - Policy 5204070000182 - collector method update failed.,NCL Cover-All - Issue
Submit proof of insurance to the DMV for policy:6401040047511,TronWeb - Interface
"NB App not avaialable on AFE, agent receives error",AFE
Job M_ACCL0380 is running too long....only runs for about 2 minutes and it is running for over 200 minutes.,
***Job FTPPPS ended abnormally. 08/24/14 23:30:27.,
***Job GC01120 ended abnormally. 12/01/16 07:57:32.,AS400A
***Job GC01120 ended abnormally. 09/29/16 04:14:56.,AS400A
***Job GC01120 ended abnormally. 04/08/18 06:17:19.,AS400A
"TronWeb - getting an error ""Subscript out of range"" when trying to launch the application",TronWeb - Issue
***Job FTPRCARFAX ended abnormally. 07/09/18 05:41:45.,AS400A
TW Incident - 6401040013345,TronWeb - Issue
New Issue/CA/Mapfre Connect/Problem displaying page at beginning of endorsement/8001010035026,AFE
Pennsylvania Road Assistance Coverage is quoting with the wrong price.,TronWeb - Issue
AFE running slow,AFE
CA/AFE/Current Dec Page did not update after an August 1st endorsement went through to change mortgagee information.,AFE
8001080000485 - Suppress Print Flag Not Defaulting to N,TronWeb - Issue
CURRENT CARRIER AUTOMATED REJECT REPORT FOR BATCH NO - 150471068,TronWeb - Interface
"Endorsement confirm will show marital status ""single changed to married"" even though the original one has been ""marr",AFE
Third Party Activity code 75 is not allowing payment of a compensation settlement,TronWeb - Claims
Incident INC1234754 has been updated,TronWeb - Issue
Open New Ticket - Correct Commission Chart 315,TronWeb - Financial
***Job GC01120 ended abnormally. 03/12/17 06:17:55.,AS400A
Submit SR22 to the DMV for Driver,TronWeb - Interface
6401030013172 - Driver Listed More Than Once Error,TronWeb - Issue
Refund Check Printer not printing for 12/29/2017,TronWeb - Print
Claims Checking P1 printer cannot print checks for TW co 80 not printing checks that she submitted,TronWeb - Print
MAC - internal server error,MAC - MAPFRE Admin Center
"Agent clicks on ""Search"" under policy inquiry and received error message: There was a problem trying display this page",AFE
Report MMAGC01490 is not in the viewer for month end December.,TronWeb - Reports
52010715000484 /MAC TRM-20310retains suffix COD_CTO_RVA:1,TronWeb - Claims
POI Insured  - 8001080003546 ,TronWeb - Interface
New Problem/OPEN CMS/unable to create new folder in My Resources,AFE
6401030025834 - driver listed more than one time error,TronWeb - Issue
***Job GC01120 ended abnormally. 04/26/17 06:16:59.,AS400A
64010415000527. This was opened as a CMP suffix and should be COLL,TronWeb - Issue
***Job GC01120 ended abnormally. 12/11/17 06:17:34.,AS400A
6401040015774 - Driver Add'l Info screen 2 Accidents <=1000 and charging points 4/6/12= 8pts and 2/15/13=3 points,TronWeb - Renewals
ISO TW NCL Production Supprot CSP MIC52 & MIC80 BOP ISO,NCL Cover-All - Issue
New IR for 00010 - WEEKLY POTENTIAL DUPLICATE CLAIM,TronWeb - Reports
OOBs on attached Monthly Losses spreadsheet for June 2018.,TronWeb - Reports
CURRENT CARRIER - AUTOMATED REJECT REPORT FOR BATCH NO - 130571198,TronWeb - Issue
CWIC Tronweb CCARD Negative Difference $4.00 Policy #6401020000242 & Policy #6401020000427 each off $2.00,TronWeb
Additional Commission Charts need to be added to TW that were approved in Diamond for converting agents,TronWeb - Issue
POLICIES WILL NOT CANCEL,TronWeb - Issue
Payment Incident Report (MMAGC01420) displays an,TronWeb - Reports
6401040013913 - Could not process cancx. TRN- 20003063 A Suspended Endorsement exists for this policy. ,TronWeb - Issue
***Job GC01022 ended abnormally. 05/15/18 00:56:53.,AS400A
"3/22 MIC Tronweb (SWEEP, $55.18 & Pol# 8006010000412)",TronWeb - Treasury
Record blocked by another user - 0610800130948 see attached - reject tech control process error,TronWeb - Issue
 having issues entering the URL for the Florida AFE.,AFE
Checks that print but do not get sent to bank same day should be held/not be mailed out by PATS,TronWeb - Treasury
***Job W_TS01330 ended abnormally. 12/22/14 05:09:58.,AS400A
TRONWeb Production Defect. False Adjuster Assignment on Manually opened Suffixes,TronWeb - Claims
"New Problem - CA - IVANS DL - Agent did not received Homeowner  DL, I went in to IVANS to resend & it said no policy fou",TronWeb - Issue
6401030026205 - Premium Decreasing on Non-Premium Bearing Endorsement- Driver assigned 2X's,TronWeb - Issue
Incorrect screens showing for 6401020014946,TronWeb - Issue
CHANGE MORTGAGEE - GENERATES ADDITIONAL PREMIUM,TronWeb - Issue
unique constraint violated error_6401040036874,TronWeb - Issue
Tronweb - PA - Error in Policy Composition Factor,TronWeb - Issue
Tronweb  Fw: 6401020043282 - missing DEC page,TronWeb - Print
TRONWEB - 5201070014271 **CANNOT REINSTATE - CRITICAL**,TronWeb - Issue
6401040035484- payment never drafted and the payment amt was incorrect.,TronWeb - Treasury
***Job EM00070 ended abnormally. 01/01/16 22:35:42.,AS400A
Cannot open a reserve in tronweb.  new user,TronWeb - Claims
Submit proof of insurance to the DMV for policy:6401030002075,TronWeb - Interface
***Job GC01120 ended abnormally. 06/20/17 06:17:11.,AS400A
MAC is performing slow- stated that its affecting others as well,MAC - MAPFRE Admin Center
6401020000042  No DEC is available on mapfreconnect or in ecmViewer for Renewal,TronWeb - Print
Please provide SR22 to DMV for 6401030013478,TronWeb - Interface
Report # MMAEM00290 - Report is blank and always has been,TronWeb - Reports
Policies Not Renewing ,
6/29/15 CWIC Tronweb Claims Acct #7007 check range #133843 - 133972 $308361.27,TronWeb - Treasury
6/23/14 MIC/CWIC Tronweb REMIT payments were not posted,TronWeb - Reports
 6401050007149_WPI-125 waiver of collision deductible should have Printed,TronWeb - Print
***Job RCCAPRREP ended abnormally. 03/07/16 02:48:12.,AS400A
Process polk file in production,TronWeb - Interface
***Job FTPEFTD64 ended abnormally. 08/02/14 23:46:16.,
CA / AFE Endorsement / Error in Bind Policy:8001010038332ORA-20008: License date must exceed birth date by,AFE
Submit proof of SR-22 to the DMV for policy: 6401030024701,TronWeb
"Optional Coverage HO 04 27 LMT FUNGI,ROT,BACT-DW isn't briding over to AFE from Vertafore",AFE
5201070012300 - I need to change the mailing address on this policy to a Canadian address,TronWeb - Issue
Report MMACG00650 (Daily Return Premium Register) is not available for the label date of 11/14/16 ,TronWeb - Reports
Policy 6401040001002 - Please patch policy to update policy status to In Force.,TronWeb - Issue
New Issue/PA/MapfreConnect/Insurance score could not be retrieved/0108800502994,AFE
8001010005020 DOCUMENT RETAINED FOR TECHNICAL CONTROL. The policy appears to be locked,TronWeb - Issue
Policy 8006100001438 Cancel Rewrite:unable to fill in Loyal Customer Discount,TronWeb - Cancellations/Reinstatements
Quote 0615800016161tried to authorize this quote back to the agent and received an error message so I hit refresh button and it rejected the quote. can i Auth?,TronWeb - Issue
Tronweb job TWOFACADHO failed.  Per chcklist no calls needed just open a ticket.,TronWeb - Interface
8001010004429 - not eligible when we go to reinstate,TronWeb - Issue
TRONWEB DAILY LOSSES OOB  -  MARCH,TronWeb - Reports
8006100001466- REQUEST TO CANCEL EFFCT 4/11/2018,TronWeb - Issue
TronWeb Error - 8006010013048 - adding mortgagee client - ZIP NOT AVAIL,TronWeb - Issue
Tronweb Issue - 8001010009044 Jonathan Burton,TronWeb - Issue
New business policies are missing Third Party address information causing errors at Endorsement & Renewal ,AFE
new problem/ca/afe/ca011135/6401050012173/new business documents did not generate,TronWeb - Print
"CRITICAL system is not allowing me to print T checks,  MUST BE PRINTED TODAY",TronWeb - Print
MAPFRE - TronWeb Monthly Commissions for April 2016 OOB.,TronWeb - Reports
Submit proof of insurance to the DMV for policy: 6401040063912,TronWeb - Interface
6/26/13 CWIC Tronweb MMAGC01240 not equal to Showcase,TronWeb - Reports
***Job GC01120 ended abnormally. 03/30/18 06:26:20.,AS400A
***Job GC01120 ended abnormally. 01/16/16 00:44:50.,AS400A
5201070006150 - HIGH PRIORITY - was allowed to be bound,TronWeb - Issue
URGENT HAVING ISSUES PRINTING 80 AND 64 CHECKS ,TronWeb - Print
BOA Files has no live dollar amount(Prenotes file) dated for 12/06/14.,TronWeb - Treasury
***Job GC01120 ended abnormally. 12/04/16 06:17:26.,AS400A
 need to change the mailing address on this policy  5201070012134 to a canadian address,TronWeb - Issue
New Problem/ AFE / CA039121 / 6401040057609 / Error in Cancelling Policy: ORA-20001: NON-EXISTENT CODE [PK g2990300],AFE
***Job FTPCHKPAID ended abnormally. 11/19/18 22:30:08.,AS400A
5/28/15 MICF Tronweb EFT Variance between MMAGC01100 & MMAGC00420,TronWeb - Treasury
6401040023978 - Policy reinstated with lapse - Misfire tech control,TronWeb - Cancellations/Reinstatements
***Job FTPPPS ended abnormally. 08/18/18 02:29:54.,AS400A
6401030002947 / NGUY ***URGENT***  The system seems to have voided two endorsements in error,TronWeb - Issue
Tronweb 6/27 6/28 6/29/14 MIC MMAG01250 Report,TronWeb - Reports
MAPFRE - 52-CA-001024937-0 Error saving policy: TRN-99977778:DEDUCTIBLES MUST BE CONTRACTED COVERAGE [4742]BATCH PROCESS FAILED,NCL Cover-All - Issue
6401030012303 TW did not automatically withdraw Pending Cancel when payment received,TronWeb - Treasury
New Issue- FL- MapfreConnect and Print Issue- New Business Application is printing county and AFE does not look for coun,AFE
***Job GC00400 ended abnormally. 07/19/18 04:39:37.,AS400A
OOBs on TronWeb report #MMACO00892 for the month of December/January,TronWeb - Reports
MMAGC01110 - different report placed in place of MMAGC01110 in ECM,TronWeb - Reports
MAPFRE - Policy 8004010002801 tech control,NCL Cover-All - Issue
Submit proof of insurance to the DMV for policy:  640120005182,TronWeb - Interface
"AS400 - Tronweb job ended abnormally terminated, Jobname:  m_em01810 Jobuser: production Jobnumber 145324",TronWeb
6401050006640 - Policy has Only One Risk Error - User,TronWeb - Endorsements
Cannot connect to Tronweb- multiple people just getting a black screen and unable to log in,TronWeb - Performance
6401040057652 - Future Bill is not showing under Scheduled Bills,AFE
 8006140000001 attempting to change mortgagee on policy premium increasing by $2 / non premium bearing change,TronWeb - Endorsements
8001060002770 Hess JENN - full pay discount not applied,TronWeb - Rating
New Problem - AFE - AZ013257 - 8001060003886 - Endorsement will not go past driver 3 when adding driver 4,AFE
TRONWEB Report MMAGC00425 - no report in ECMViewer dated for 03/11/14,TronWeb - Reports
***Job GC01120 ended abnormally. 05/25/16 03:46:17.,AS400A
"TW, MIC CA Policy # 8001010004274",TronWeb
An insured is unable to create a new account or add a new policy to the existing account - receiving error messages,B2C
7/6/15 CWIC Tronweb claims acct #7007 missing checks ck#134280 $3675.13 & ck# 134329 $5273.24,TronWeb - Treasury
UAT defect 2539 (8/28/16 release) - MVR CLUE_Incidents used in Rating not generating on FL NB Dec,AS400A
Incorrect City listed for MAPFRE Agents on dec pages,TronWeb - Print
Error in new TRONWeb when rejecting a Claim Technical Control - Claim #80010113000394,TronWeb - Claims
Current Carrier - AUTOMATED REJECT REPORT FOR BATCH NO - 133191185,TronWeb - Interface
***Job EM00070 ended abnormally. 08/23/16 02:37:12.,AS400A
NEW ISSUE-PA-MAPFRE CONNECT-ALL INFO ON GENERAL INFO PAGE IS PUSHED OVER TO LEFT HAND SIDE,AFE
Proof of insurance for Policy #: 6401040077984,TronWeb - Interface
Tronweb 6401020041094  **See attachment** (premium increase adding ADI),TronWeb - Endorsements
XEN CLOUD: TW Claim# 80010115009300-3 Suffix Document missing Attorney Information (Attorney information in TW),ClaimWorks v2
8006010017455 was cancelled in error and while trying,TronWeb - Issue
***Job Q_CO00790 ended abnormally. 01/07/16 07:56:02.,AS400A
Tron Web - MMATS00010 is not available for 1/20 and 1/27/14 are not available.,TronWeb - Claims
"New Problem - CA - AFE - New Business Application not available: File does not begin with '%PDF-"".  Local\EWH`_zo)#`k",AFE
New Issue/AZ/MapfreConnect/NO DATA FOUND.City code not found in A1000102 for city AMADO on endorsement/8001060006946,TronWeb - Issue
8004010002300 CONTRA COSTA TEAR-OFF,NCL Cover-All - Issue
tron web application is not working TRN 20001 Non,TronWeb - Issue
Quote number 010464370511 pulling in 2 DUIs and should be only one,AFE
Job P_TWREPETW Terminated.  JOB#: 103441,TronWeb - Issue
LEXIS NEXIS  MORTGAGE FILE,TronWeb - Interface
6401030025489 DNR Policy Did Not Cancel - TW,TronWeb - Renewals
6401030030986 Unable to process annual mileage err:,TronWeb - Endorsements
***Job FTPEFTSW64 ended abnormally. 04/16/17 23:25:00.,AS400A
Good Student discount and New Driver Disount not showing on renw Dec,TronWeb - Issue
Invoices stopped printing for this policy '8008010000445' after April 2017.,NCL Cover-All - Print
MAPFRE 8004010002986 - Policy Cancelled in Coverall But Not TronWeb,NCL Cover-All - Issue
DAILY TRONWEB LOSSES OUT OF BALANCES June 2016,TronWeb - Reports
New Problem - AFE - CA - B509EAGU - 6401040037887 -,AFE
AUTOMATED REJECT REPORT FOR BATCH NO - 150571197,TronWeb - Reports
New Issue- FL- MAPFREConnect- 5201070003160ORA-20000: [EA_K_TECH_CTRL_FINISH_107.P_GEN_CTRL_LEVEL8]thers:ORA-20001: TRN-,AFE
"New Issue / PA / AFE ECM / File does not begin with '%PDF-"",Local\EWH')g]{@k_ / 8006100000985",AFE
Submit proof of insurance to the DMV for policy:8001010047100,TronWeb - Interface
Please Add to ticket # INC1534914 ,AFE
Submit proof  SR-22to the DMV for policy: 6401030015373 order of suspension was sent to insured by DMV - RUSH,TronWeb - Interface
MAPFRE - OOS change 8004010003481 : Error saving policy: unique constraint (TRON2000.PK_P2000060) violated,NCL Cover-All - Issue
POI for Policy 6401040071036,TronWeb - Interface
*New Issue/CA/Mapfre Connect/Error In Bind - Rejected Error Level/8001010042137,AFE
New Problem - CA - AFE - Agent gets error message after 1st page when trying to process ENDR: There was a problem trying,AFE
On TRONWEB GC01990 was hung up.,TronWeb - Reports
8001010001804 Agent is requesting POI be sent to DMV for all vehicles on policy. ,TronWeb
Unable to connect to tronweb,TronWeb - Issue
Unable to log into TW - Stuck at wW - Cleaned cache and,TronWeb - Issue
Policy 6401020024513 - policy stuck in provisional ,TronWeb - Issue
*8006030000229 - Rental Property Location not Displayed on Application ,AFE
***Job M_GC01470 ended abnormally. 07/31/15 23:59:22.,AS400A
"New Problem / AFE / PA / Trying to add Additional Interest.  Info does not save in AFE, Dec generates but additional int",AFE
Submit proof of insurance to the DMV for policy:6401040049528,TronWeb - Interface
TRONWeb Patch needed on claim so that payment can be processed,TronWeb - Claims
New Problem/Open CMS/Not Bridging documents to AFE Communication Center,AFE
Policy #6401040004367 - Please Resend SR-22 filing to DMV.,TronWeb - Interface
6401040004149 Please remove receipt 222857 from the EFT mailbox. Conversion policy.,TronWeb - Treasury
6401040108146; insured: Alma Flores_Policy did not Reinstate,TronWeb - Issue
Tronweb July Renewal not booked  Agent 3108 Rumbaugh Ins.,TronWeb - Reports
***Job GC01120 ended abnormally. 08/01/16 03:55:59.,AS400A
Reprint ID card Error 8001010017427,TronWeb - Issue
TRONWeb Defect. Supervisor unable to increase a reserve on a suffix opened in2013,TronWeb - Claims
NEW TRONWEB - PRODUCTION - Claim Vendor Has Duplicate Record In the 3rd Party Table In Company 64.,TronWeb - Claims
***Job GC01250 ended abnormally. 10/15/18 07:39:20.,AS400A
***Job M_GC01120 ended abnormally. 05/01/14 08:42:55.,
The following policies showed up on today's TWAPC Error Report,TronWeb
***Job FTPRTVISOC ended abnormally. 05/15/18 00:45:02.,AS400A
New Problem - AFE - Florida - FL019140 - 5201070009567 - New business issued but no documents were created.  Can someone,AFE
TW Incident Policy 8001080000011 increase in premium,TronWeb - Endorsements
Policy # 6401050009204 (not a duplicate request) submit proof of insurance 2012 Lexus CT200,TronWeb - Interface
***Job GC00888 ended abnormally. 10/15/18 05:07:39.,AS400A
"0106800044320   Agent receives ""No rates found for this Zip/Territory"" error when calculating premium - ",AFE
"Tron Web Training Environment - Received ""There are open suffixes.  Consequence Must be Selected"" Error ",TronWeb - Claims
8/12/13 CWIC & MIC Tronweb MMAGC01240 not equal to Showcase query,TronWeb - Reports
Policy # 6401040024617 Insured did not receive invoice due on 8/15/15,TronWeb - Treasury
New Problem - CA - AFE - Agent processing ENDR to add 2007 Altima and received error message:  933-UNACCEPTABLE VEHICLE ,AFE
CWIC Tronweb CCARD $100.66 - 6401040002738 not applied,TronWeb - Treasury
# Tech Controls Firing at Renewal but Should Have Fired at Pre-Renewal,TronWeb - Renewals
***Job GC01120 ended abnormally. 10/02/17 06:17:30.,AS400A
6401030035523 - Driver Status Issues at Renewal ,TronWeb - Issue
Unable to make changes to Trust Endorsement Policy 8006010000314,TronWeb - Issue
8001010012753 - commission chart issue,TronWeb - Treasury
Penn DOT notification- PA Tronweb,TronWeb - Interface
"6401030009639 - Attempting to delete risk#4, getting",TronWeb - Issue
new problem/afe/ca/ca038718/6401040071361/error occurring when agent trying to cancel. ,AFE
MAC is running extremely slow when trying to access/work on claims.,MAC - MAPFRE Admin Center
Need to Suppress Print of a Cancellation notice.,TronWeb - Print
***Job GC01120 ended abnormally. 04/19/17 06:17:06.,AS400A
***Job FTPRCARFAX ended abnormally. 02/08/18 10:14:18.,AS400A
ECM 2001604MMAGC01980 REPORT NOT AVAILABLE FOR 4/20/16,TronWeb - Reports
6401020039218 unable to add vehicle err: ORA-20001: [EM_K_TA640900.P_CACL_BI_PREM[NON-EXSITENT CODE,TronWeb - Issue
MAPFRE - Policy 5204070000449 - Error saving policy: DOCUMENT RETAINED FOR TECHNICAL CONTROL [a2990700],NCL Cover-All - Issue
8001010020185 - ROBOT HAS SET POLICY TO CANCEL AND NO,TronWeb - Print
6401020001656: Payment orders stuck on TW refunds report (AAG),TronWeb - Reports
Job ROADAMR has been running for 352 minutes when the most it runs is an hour.  Can this job be cancelled and rerun?  Is it hung?,AS400A
New Problem/CA/AFE endorsement auto/Agent goes through endorsement with no changes and premium decrease of -353.81 is gi,AFE
new problem/afe/ca004590/0601803635897/mortgage company data is being required but quote is not billed to mortgage company,AFE
8001010003698 Please remove RE receipts  56596 & 56597 from the temp. EFT mailbox.,TronWeb - Treasury
No access to MMAD07 and MMAD11,TronWeb
6401040022637 VIN too short,TronWeb - Interface
TRONWeb Logon - MMAD10 environment won't load the login page in the  TW launcher,MMAD10@AIXDEV1
6401030018886 - Getting Global Variable Error on Endor to delete a Veh,TronWeb - Issue
Cannot log into Tronweb,TronWeb - Performance
Batch process is updating property location city based on renewals - inv and decs have two diff cities for same address,TronWeb - Print
MIC TW Refunds 4449,TronWeb - Treasury
MAC is timing out when trying to make payments,MAC - MAPFRE Admin Center
AFE PW,AFE
